# $ this file belongs to the Molcas repository $
# this file defines aliases for basis set for.each atom
# Format:
#Basis_name Alias(real file)
#H.Ano-s   H.Ano-s...1s.
#

O.ANO-L-MB                               O.ANO-L...2s1p.
O.ANO-L-VDZ                              O.ANO-L...3s2p.
O.ANO-L-VDZP                             O.ANO-L...3s2p1d.
O.ANO-L-VTZ                              O.ANO-L...4s3p2d.
O.ANO-L-VTZP                             O.ANO-L...4s3p2d1f.
O.ANO-L-VQZP                             O.ANO-L...5s4p3d2f.
F.ANO-L-MB                               F.ANO-L...2s1p.
F.ANO-L-VDZ                              F.ANO-L...3s2p.
F.ANO-L-VDZP                             F.ANO-L...3s2p1d.
F.ANO-L-VTZ                              F.ANO-L...4s3p2d.
F.ANO-L-VTZP                             F.ANO-L...4s3p2d1f.
F.ANO-L-VQZP                             F.ANO-L...5s4p3d2f.
Ne.ANO-L-MB                              Ne.ANO-L...2s1p.
Ne.ANO-L-VDZ                             Ne.ANO-L...3s2p.
Ne.ANO-L-VDZP                            Ne.ANO-L...3s2p1d.
Ne.ANO-L-VTZ                             Ne.ANO-L...4s3p2d.
Ne.ANO-L-VTZP                            Ne.ANO-L...4s3p2d1f.
Ne.ANO-L-VQZP                            Ne.ANO-L...5s4p3d2f.
Na.ANO-L-MB                              Na.ANO-L...3s2p.
Na.ANO-L-VDZ                             Na.ANO-L...4s3p.
Na.ANO-L-VDZP                            Na.ANO-L...4s3p1d.
Na.ANO-L-VTZP                            Na.ANO-L...5s4p2d1f.
Na.ANO-L-VQZP                            Na.ANO-L...6s5p3d2f.
Mg.ANO-L-MB                              Mg.ANO-L...3s2p.
Mg.ANO-L-VDZ                             Mg.ANO-L...4s3p.
Mg.ANO-L-VDZP                            Mg.ANO-L...4s3p1d.
Mg.ANO-L-VTZP                            Mg.ANO-L...5s4p2d1f.
Mg.ANO-L-VQZP                            Mg.ANO-L...6s5p3d2f.
Al.ANO-L-MB                              Al.ANO-L...3s2p.
Al.ANO-L-VDZ                             Al.ANO-L...4s3p.
Al.ANO-L-VDZP                            Al.ANO-L...4s3p1d.
Al.ANO-L-VTZP                            Al.ANO-L...5s4p2d1f.
Al.ANO-L-VQZP                            Al.ANO-L...6s5p3d2f.
Si.ANO-L-MB                              Si.ANO-L...3s2p.
Si.ANO-L-VDZ                             Si.ANO-L...4s3p.
Si.ANO-L-VDZP                            Si.ANO-L...4s3p1d.
Si.ANO-L-VTZP                            Si.ANO-L...5s4p2d1f.
Si.ANO-L-VQZP                            Si.ANO-L...6s5p3d2f.
P.ANO-L-MB                               P.ANO-L...3s2p.
P.ANO-L-VDZ                              P.ANO-L...4s3p.
P.ANO-L-VDZP                             P.ANO-L...4s3p1d.
P.ANO-L-VTZP                             P.ANO-L...5s4p2d1f.
P.ANO-L-VQZP                             P.ANO-L...6s5p3d2f.
S.ANO-L-MB                               S.ANO-L...3s2p.
S.ANO-L-VDZ                              S.ANO-L...4s3p.
S.ANO-L-VDZP                             S.ANO-L...4s3p1d.
S.ANO-L-VTZP                             S.ANO-L...5s4p2d1f.
S.ANO-L-VQZP                             S.ANO-L...6s5p3d2f.
Cl.ANO-L-MB                              Cl.ANO-L...3s2p.
Cl.ANO-L-VDZ                             Cl.ANO-L...4s3p.
Cl.ANO-L-VDZP                            Cl.ANO-L...4s3p1d.
Cl.ANO-L-VTZP                            Cl.ANO-L...5s4p2d1f.
Cl.ANO-L-VQZP                            Cl.ANO-L...6s5p3d2f.
Ar.ANO-L-MB                              Ar.ANO-L...3s2p.
Ar.ANO-L-VDZ                             Ar.ANO-L...4s3p.
Ar.ANO-L-VDZP                            Ar.ANO-L...4s3p1d.
Ar.ANO-L-VTZP                            Ar.ANO-L...5s4p2d1f.
Ar.ANO-L-VQZP                            Ar.ANO-L...6s5p3d2f.
Sc.ANO-L-MB                              Sc.ANO-L...4s3p1d.
Sc.ANO-L-VDZ                             Sc.ANO-L...5s4p2d.
Sc.ANO-L-VDZP                            Sc.ANO-L...5s4p2d1f.
Sc.ANO-L-VTZP                            Sc.ANO-L...6s5p3d2f1g.
Sc.ANO-L-VQZP                            Sc.ANO-L...7s6p4d3f2g.
Ti.ANO-L-MB                              Ti.ANO-L...4s3p1d.
Ti.ANO-L-VDZ                             Ti.ANO-L...5s4p2d.
Ti.ANO-L-VDZP                            Ti.ANO-L...5s4p2d1f.
Ti.ANO-L-VTZP                            Ti.ANO-L...6s5p3d2f1g.
Ti.ANO-L-VQZP                            Ti.ANO-L...7s6p4d3f2g.
V.ANO-L-MB                               V.ANO-L...4s3p1d.
V.ANO-L-VDZ                              V.ANO-L...5s4p2d.
V.ANO-L-VDZP                             V.ANO-L...5s4p2d1f.
V.ANO-L-VTZP                             V.ANO-L...6s5p3d2f1g.
V.ANO-L-VQZP                             V.ANO-L...7s6p4d3f2g.
Cr.ANO-L-MB                              Cr.ANO-L...4s3p1d.
Cr.ANO-L-VDZ                             Cr.ANO-L...5s4p2d.
Cr.ANO-L-VDZP                            Cr.ANO-L...5s4p2d1f.
Cr.ANO-L-VTZP                            Cr.ANO-L...6s5p3d2f1g.
Cr.ANO-L-VQZP                            Cr.ANO-L...7s6p4d3f2g.
Mn.ANO-L-MB                              Mn.ANO-L...4s3p1d.
Mn.ANO-L-VDZ                             Mn.ANO-L...5s4p2d.
Mn.ANO-L-VDZP                            Mn.ANO-L...5s4p2d1f.
Mn.ANO-L-VTZP                            Mn.ANO-L...6s5p3d2f1g.
Mn.ANO-L-VQZP                            Mn.ANO-L...7s6p4d3f2g.
Fe.ANO-L-MB                              Fe.ANO-L...4s3p1d.
Fe.ANO-L-VDZ                             Fe.ANO-L...5s4p2d.
Fe.ANO-L-VDZP                            Fe.ANO-L...5s4p2d1f.
Fe.ANO-L-VTZP                            Fe.ANO-L...6s5p3d2f1g.
Fe.ANO-L-VQZP                            Fe.ANO-L...7s6p4d3f2g.
Co.ANO-L-MB                              Co.ANO-L...4s3p1d.
Co.ANO-L-VDZ                             Co.ANO-L...5s4p2d.
Co.ANO-L-VDZP                            Co.ANO-L...5s4p2d1f.
Co.ANO-L-VTZP                            Co.ANO-L...6s5p3d2f1g.
Co.ANO-L-VQZP                            Co.ANO-L...7s6p4d3f2g.
Ni.ANO-L-MB                              Ni.ANO-L...4s3p1d.
Ni.ANO-L-VDZ                             Ni.ANO-L...5s4p2d.
Ni.ANO-L-VDZP                            Ni.ANO-L...5s4p2d1f.
Ni.ANO-L-VTZP                            Ni.ANO-L...6s5p3d2f1g.
Ni.ANO-L-VQZP                            Ni.ANO-L...7s6p4d3f2g.
Cu.ANO-L-MB                              Cu.ANO-L...4s3p1d.
Cu.ANO-L-VDZ                             Cu.ANO-L...5s4p2d.
Cu.ANO-L-VDZP                            Cu.ANO-L...5s4p2d1f.
Cu.ANO-L-VTZP                            Cu.ANO-L...6s5p3d2f1g.
Cu.ANO-L-VQZP                            Cu.ANO-L...7s6p4d3f2g.
Zn.ANO-L-MB                              Zn.ANO-L...4s3p1d.
Zn.ANO-L-VDZ                             Zn.ANO-L...5s4p2d.
Zn.ANO-L-VDZP                            Zn.ANO-L...5s4p2d1f.
Zn.ANO-L-VTZP                            Zn.ANO-L...6s5p3d2f1g.
Zn.ANO-L-VQZP                            Zn.ANO-L...7s6p4d3f2g.

H.ANO-RCC-MB                             H.ANO-RCC...1s.
H.ANO-RCC-VDZ                            H.ANO-RCC...2s.
H.ANO-RCC-VDZP                           H.ANO-RCC...2s1p.
H.ANO-RCC-VTZP                           H.ANO-RCC...3s2p1d.
H.ANO-RCC-VQZP                           H.ANO-RCC...4s3p2d1f.
He.ANO-RCC-MB                            He.ANO-RCC...1s.
He.ANO-RCC-VDZ                           He.ANO-RCC...2s.
He.ANO-RCC-VDZP                          He.ANO-RCC...2s1p.
He.ANO-RCC-VTZP                          He.ANO-RCC...3s2p1d.
He.ANO-RCC-VQZP                          He.ANO-RCC...4s3p2d1f.
Li.ANO-RCC-MB                            Li.ANO-RCC...2s1p.
Li.ANO-RCC-VDZ                           Li.ANO-RCC...3s2p.
Li.ANO-RCC-VDZP                          Li.ANO-RCC...3s2p1d.
Li.ANO-RCC-VTZP                          Li.ANO-RCC...4s3p2d1f.
Li.ANO-RCC-VTZ                           Li.ANO-RCC...4s3p2d.
Li.ANO-RCC-VQZP                          Li.ANO-RCC...5s4p3d2f1g.
Be.ANO-RCC-MB                            Be.ANO-RCC...2s1p.
